games,agent_a,agent_b,agent_a_wins,agent_b_wins,draws,agent_a_win_rate_all_games,agent_a_win_rate_decisive_games,agent_a_wilson_low_all_games,agent_a_wilson_high_all_games,avg_plies,avg_store_margin_for_a,agent_a_avg_time_s,agent_b_avg_time_s,agent_a_minimax_nodes,agent_b_minimax_nodes,csv,elapsed_s,minimax_depth_limit,minimax_time_limit_s,q_checkpoint,q_metadata,ply_cap_games
100,random,random,55,38,7,0.55,0.5913978494623656,0.45244602997442135,0.6438546202048803,35.13,2.24,1.567110254766255e-05,1.566396552109953e-05,0,0,random_vs_random_n100.csv,0.23501762500382029,3,,,,0
100,random,minimax_h1,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.48,-26.84,1.2215154979439307e-05,0.0022950448409355087,0,35543,random_vs_minimax_h1_n100.csv,2.957137208984932,3,,,,0
100,random,minimax_h2,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.48,-26.04,1.2140269674875691e-05,0.002944891627948425,0,37861,random_vs_minimax_h2_n100.csv,3.745014666026691,3,,,,0
100,random,minimax_h3,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.4,-27.32,1.318513318757095e-05,0.006681445832343422,0,39796,random_vs_minimax_h3_n100.csv,8.346723833004944,3,,,,0
100,random,minimax_h4,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,24.73,-27.7,1.3295888754005273e-05,0.008905683483402002,0,41159,random_vs_minimax_h4_n100.csv,11.222121375001734,3,,,,0
100,qlearning,random,61,36,3,0.61,0.6288659793814433,0.5120301704584073,0.6998312599360558,33.96,4.5,2.1292889387137175e-05,1.6805056769114274e-05,0,0,qlearning_vs_random_n100.csv,45.17284991699853,3,,artifacts/qlearning_50k_seed152.pkl,artifacts/qlearning_50k_seed152_metadata.json,0
100,qlearning,minimax_h1,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,21.5,-33.0,1.947562756305117e-05,0.003066309581759428,0,37650,qlearning_vs_minimax_h1_n100.csv,50.35142979200464,3,,artifacts/qlearning_50k_seed152.pkl,artifacts/qlearning_50k_seed152_metadata.json,0
100,qlearning,minimax_h2,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,25.5,-27.0,1.875986873637885e-05,0.003515945413270786,0,47700,qlearning_vs_minimax_h2_n100.csv,50.41794462499092,3,,artifacts/qlearning_50k_seed152.pkl,artifacts/qlearning_50k_seed152_metadata.json,0
100,qlearning,minimax_h3,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,30.0,-28.0,1.6587665304541587e-05,0.007472279471364649,0,58950,qlearning_vs_minimax_h3_n100.csv,56.849319708009716,3,,artifacts/qlearning_50k_seed152.pkl,artifacts/qlearning_50k_seed152_metadata.json,0
100,qlearning,minimax_h4,0,100,0,0.0,0.0,3.469446951953614e-18,0.03699349820698568,32.5,-28.0,1.6131283764755636e-05,0.0085115839214086,0,51950,qlearning_vs_minimax_h4_n100.csv,58.60776795799029,3,,artifacts/qlearning_50k_seed152.pkl,artifacts/qlearning_50k_seed152_metadata.json,0
60,minimax_h1,minimax_h2,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,25.5,2.0,0.002546531242628892,0.0030195603158715994,19770,21600,minimax_h1_vs_minimax_h2_n60.csv,4.332798916992033,3,,,,0
60,minimax_h1,minimax_h3,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,40.5,-3.0,0.003422606245820918,0.010049130071808273,43860,51000,minimax_h1_vs_minimax_h3_n60.csv,16.41310274999705,3,,,,0
60,minimax_h1,minimax_h4,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,38.0,8.0,0.0031318478826729565,0.013742230891397126,38610,50100,minimax_h1_vs_minimax_h4_n60.csv,19.356648250017315,3,,,,0
60,minimax_h2,minimax_h3,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,45.5,0.0,0.00441199236381141,0.010344992520166905,55380,57420,minimax_h2_vs_minimax_h3_n60.csv,20.218540166999446,3,,,,0
60,minimax_h2,minimax_h4,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,38.0,8.0,0.0036925830499456966,0.01284371054084898,37170,44340,minimax_h2_vs_minimax_h4_n60.csv,18.970255208027083,3,,,,0
60,minimax_h3,minimax_h4,30,30,0,0.5,0.5,0.3773502424155577,0.6226497575844423,36.5,3.0,0.007758507286241554,0.010811495115201257,33480,38490,minimax_h3_vs_minimax_h4_n60.csv,20.48315212497255,3,,,,0
